Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,Fz,Cz,Pz,T2,T1,Oz
00:00.0,0.04722472231730872,0.0476846009056782,0.0250584311330673,0.029963000996245104,0.0,0.018143993800040847,0.00871447090969312,0.024258183453739476,0.036222425166272415,0.043738390080990695,0.051883725263744115,0.04287343656278588,0.0486647036657056,0.04073727818617237,0.034563767246588516,0.04310539171579896,0.006400941510694913,0.006216073631922614,0.02894910493924154,0.003689722684113866,0.010056157061764357,0.04743307032894885,0.054877818974565756,0.03926248121384357
00:03.200,0.1139540404465924,0.10504456099491272,0.05584459914332552,0.04728010137722224,0.010544167043089754,0.022387045424387953,0.03932975136777588,0.042912829420691634,0.08129727847855744,0.0829605360756247,0.08591437844012519,0.07684967863560305,0.0860996426288136,0.06658544790861541,0.08107492028507168,0.08382831074614525,0.009700410820167895,0.009601338645905937,0.0674057375913813,0.013497196428060744,0.027269059130493208,0.08474556223579183,0.09860269889991212,0.08229517674142145
00:06.400,0.12631614684940437,0.12381102666465273,0.0774902751859756,0.09465158888279288,0.008601064152163296,0.054706984546807856,0.019089220952329997,0.06050065516096977,0.06428462381955803,0.08466958029540132,0.07525275085546997,0.09647859338035401,0.06303180220441551,0.09162653299050363,0.06016884287844112,0.0936732173122264,0.008541914295543303,0.008446442631121272,0.10105703650611716,0.021525139077789957,0.03265977736503095,0.09862266181491477,0.08029136114144383,0.0766672327887535
00:09.600,0.22793048261915672,0.22970503055912975,0.19362584065045377,0.17210781584774154,0.02749882454462918,0.07812041423695171,0.04375747272700852,0.09557720382987049,0.10561389906921154,0.13564819599596895,0.1680705877335229,0.18469030900409597,0.13470794481615112,0.18109746576115754,0.104013521607361,0.163246977402758,0.011107557198870875,0.011138907711034927,0.18428627931649255,0.04108957114538297,0.0522877892056145,0.19671442077520426,0.1700754540411717,0.12151087813842362
00:12.800,0.11156487005953608,0.15966140946554028,0.05437698479152835,0.11256537375019947,0.0042105001906714914,0.05385118135805293,0.031364876047011166,0.045860824264024776,0.05795299606803038,0.06448386191623993,0.08336599071033411,0.13556792734113493,0.07728272171098025,0.0894645581595442,0.0769688595255537,0.07395869583119051,0.011685616174768293,0.011464032248933153,0.08847386166926047,0.02508121916066463,0.020060423547605823,0.1123802534623371,0.104059890371118,0.06279420804101557
00:16.0,0.19188368314530577,0.21424047071110047,0.1519875390083573,0.18124907973152707,0.02523540828019745,0.08289582722334313,0.09169798072836213,0.12095587757167288,0.19037513699536862,0.21083911062037908,0.18158857615858615,0.21736337464993521,0.23571737145578442,0.24847147192363808,0.21464230055366235,0.24941271076862406,0.009653959023208016,0.00928865412767793,0.18711796136413958,0.07098976203208282,0.07988992245277762,0.26770195673769326,0.2786884756499016,0.1965169374686268
00:19.200,0.1453427954371293,0.15703255853303452,0.12324806614894918,0.1541115468505151,0.023615619955806674,0.057288211928600855,0.062315265944187286,0.08938955092352723,0.14698946956982148,0.15122048181553235,0.12973641295222516,0.12138209003474809,0.1397690944849831,0.11333203206636965,0.10953972189121064,0.13370102785876364,0.006327286355578064,0.006205593235281989,0.17897430891196164,0.05090787325619482,0.07284684947662369,0.1499259849742735,0.1726953110881195,0.15778770324069477
00:22.400,0.12828883498009266,0.13648015805956332,0.06247009798335832,0.07898802132662912,0.009974771112550261,0.041736695299605345,0.026955922416983802,0.04077544624846779,0.07549088547406042,0.09449839585022649,0.11350313572613803,0.1120455486005809,0.10104855559110404,0.10633360470423844,0.073258164931485,0.08824729002877231,0.009901226477321078,0.009642021328825258,0.08208600348903523,0.02680466536305912,0.03197488314849595,0.13896785951344112,0.14770803392049156,0.08439429219502857
00:25.600,0.10444528094404103,0.10669803440077621,0.07539290393403968,0.09451949108571608,0.002687741978286892,0.06164106125305302,0.030731272508804534,0.06403769600425845,0.0637210112764653,0.09223851285079983,0.07409833697570802,0.08938634415060272,0.07779144126758085,0.08335652022460205,0.06810210674125067,0.09187111644491627,0.008715028868678053,0.008484187675975892,0.10326680100788994,0.031248659951445046,0.02901179269667979,0.08939572106490841,0.09527942899624307,0.07284470438447196
00:28.800,0.1729825058976912,0.2594969039054604,0.10515664110564332,0.2400067340620511,0.01846542182831663,0.0729254806429936,0.04988857292352326,0.0534881900414972,0.1108665732141985,0.11462174453363289,0.12055271603169576,0.18699522694344647,0.12494516571974909,0.09886709122614977,0.11934208447947568,0.12088785645565472,0.009397382751021689,0.00955523670756269,0.20027061600529028,0.06463387430824159,0.03419293120046767,0.1261063821440982,0.15233876561703905,0.1141284094279472
00:32.0,0.12963663428442096,0.15106437371517184,0.11869140972714513,0.16690546810320953,0.02091121032852921,0.06975413798724647,0.04411102629143737,0.06447029536027932,0.09339580180564339,0.08985698689767684,0.11448242764498645,0.1306229711456539,0.12468555008310953,0.09271873835643436,0.0982144554835642,0.09095338529957482,0.004336054978250723,0.004421913566072782,0.1667293279742007,0.0532961131798669,0.0457203667539468,0.11180845549934679,0.14178812894655918,0.0901981529030261
00:35.200,0.2584634232162792,0.29074209597036754,0.16692465807702486,0.21792048791438481,0.16421134931367248,0.18565457211079348,0.06380641987348797,0.135074664831584,0.14827941440292175,0.17451339003267938,0.3799216718996736,0.3547036489340226,0.4737905411182731,0.39142935456101713,0.18314844077335382,0.18890959346583655,0.007314455933474976,0.007379280993414819,0.14819231103887284,0.07548932600708072,0.09249318547074147,0.396101874537766,0.3820035172888877,0.16277785481208173
00:38.400,0.11039894244275283,0.11903700460207471,0.0740267822351899,0.1184721253564455,0.04375479952617333,0.11613375955200014,0.02667520583865079,0.0854431541205077,0.08492936989957708,0.1023467162607467,0.16028346927868126,0.19358758081495783,0.2146125420275128,0.24052628746344037,0.08856287273489065,0.11376003130416225,0.009970688764033397,0.009994095263334677,0.0730845676435883,0.03378319070066874,0.04316257753052721,0.2339063780161096,0.19078570235729875,0.09563609998693484
00:41.600,0.11634382954885392,0.1354551069108589,0.041420900096898666,0.053071054678561415,0.012470221387766841,0.037647002444209925,0.01049196268507911,0.05286334471423757,0.04752572693147874,0.0636814587510065,0.09065294590350671,0.09139281923532745,0.0849471122811003,0.0795171036014141,0.04914496465007382,0.07908529659913402,0.008241769175922342,0.008184232856486447,0.048058497554679815,0.01270694236227074,0.025694914077917925,0.09152976046411986,0.09435504760073331,0.05400039405498756
00:44.800,0.31747254338420217,0.317389037456727,0.08733553045926164,0.2878214420734322,0.2234590475157254,0.349895085589176,0.030901562225810236,0.361943324420332,0.11911229308906571,0.25617036774768465,0.26666537205462626,0.32086434755305454,0.31105793262858616,0.29809381991648015,0.2792374269626507,0.2774192419512763,0.007024164822891965,0.007214183978077786,0.2616196607752287,0.18075560850248956,0.29840441804625295,0.24493823545381566,0.2865537231045116,0.08238951165931892
00:48.0,0.31756607721350977,0.2886649745435734,0.08987325514723789,0.18989013863802817,0.0734767594225253,0.21354015265868423,0.030361342845426596,0.2911110737929451,0.09082149076318191,0.1648309896614768,0.23128532623226225,0.22920008494016528,0.20557607088252766,0.2220303442151409,0.2209466555363452,0.17086893470466236,0.006842599346544666,0.006770219869229857,0.2152837791530628,0.2243686504202088,0.17820697683463746,0.1472712698752225,0.1747434368835706,0.07938062229490177
