Time,Instrument,Gain
00:00.0,instruments/hide_3-24_soft.wav,0.2
00:00.7,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:00.791,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:00.797,instruments/hide_3-24b_soft.wav,0.2
00:01.598,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:01.603,instruments/hide_3-25_soft.wav,0.2
00:02.393,instruments/hide_3-25b_soft.wav,0.2
00:02.404,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:03.193,instruments/hide_3-24_soft.wav,0.2
00:03.199,instruments/hide_3-28_soft.wav,0.2
00:03.204,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:03.994,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:04.0,instruments/hide_3-24b_soft.wav,0.2
00:04.5,instruments/hide_3-28b_soft.wav,0.2
00:04.795,instruments/hide_3-29_soft.wav,0.2
00:04.800,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:04.806,instruments/hide_3-25_soft.wav,0.2
00:05.596,instruments/hide_3-25b_soft.wav,0.2
00:05.601,instruments/hide_3-29b_soft.wav,0.2
00:05.607,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:06.396,instruments/hide_3-24_soft.wav,0.2
00:06.401,instruments/hide_3-28_soft.wav,0.2
00:06.405,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:07.195,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:07.202,instruments/hide_3-24b_soft.wav,0.2
00:07.208,instruments/hide_3-28b_soft.wav,0.2
00:07.992,instruments/hide_3-29_soft.wav,0.2
00:08.1,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:08.9,instruments/hide_3-25_soft.wav,0.2
00:08.791,instruments/hide_3-25b_soft.wav,0.2
00:08.799,instruments/hide_3-29b_soft.wav,0.2
00:08.808,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:09.591,instruments/hide_3-24_soft.wav,0.2
00:09.597,instruments/hide_3-28_soft.wav,0.2
00:09.608,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:10.392,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:10.398,instruments/hide_3-24b_soft.wav,0.2
00:10.403,instruments/hide_3-28b_soft.wav,0.2
00:11.193,instruments/hide_3-29_soft.wav,0.2
00:11.199,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:11.204,instruments/hide_3-25_soft.wav,0.2
00:11.994,instruments/hide_3-25b_soft.wav,0.2
00:12.0,instruments/hide_3-29b_soft.wav,0.2
00:12.5,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:12.794,instruments/hide_3-24_soft.wav,0.2
00:12.800,instruments/hide_3-28_soft.wav,0.2
00:12.803,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:13.593,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:13.600,instruments/hide_3-24b_soft.wav,0.2
00:13.606,instruments/hide_3-28b_soft.wav,0.2
00:14.396,instruments/hide_3-29_soft.wav,0.2
00:14.400,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:14.407,instruments/hide_3-25_soft.wav,0.2
00:15.197,instruments/hide_3-25b_soft.wav,0.2
00:15.202,instruments/hide_3-29b_soft.wav,0.2
00:15.206,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:15.995,instruments/hide_3-24_soft.wav,0.2
00:16.2,instruments/hide_3-28_soft.wav,0.2
00:16.6,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:16.796,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:16.801,instruments/hide_3-24b_soft.wav,0.2
00:16.809,instruments/hide_3-28b_soft.wav,0.2
00:17.591,instruments/hide_3-29_soft.wav,0.2
00:17.602,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:17.608,instruments/hide_3-25_soft.wav,0.2
00:18.392,instruments/hide_3-25b_soft.wav,0.2
00:18.398,instruments/hide_3-29b_soft.wav,0.2
00:18.409,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:19.192,instruments/hide_3-24_soft.wav,0.2
00:19.198,instruments/hide_3-28_soft.wav,0.2
00:19.209,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:19.991,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:19.999,instruments/hide_3-24b_soft.wav,0.2
00:20.4,instruments/hide_3-28b_soft.wav,0.2
00:20.794,instruments/hide_3-29_soft.wav,0.2
00:20.797,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:20.805,instruments/hide_3-25_soft.wav,0.2
00:21.595,instruments/hide_3-25b_soft.wav,0.2
00:21.600,instruments/hide_3-29b_soft.wav,0.2
00:21.603,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:22.393,instruments/hide_3-24_soft.wav,0.2
00:22.400,instruments/hide_3-28_soft.wav,0.2
00:22.404,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:23.194,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:23.199,instruments/hide_3-24b_soft.wav,0.2
00:23.207,instruments/hide_3-28b_soft.wav,0.2
00:23.997,instruments/hide_3-29_soft.wav,0.2
00:24.0,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:24.5,instruments/hide_3-25_soft.wav,0.2
00:24.795,instruments/hide_3-25b_soft.wav,0.2
00:24.803,instruments/hide_3-29b_soft.wav,0.2
00:24.806,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:25.596,instruments/hide_3-24_soft.wav,0.2
00:25.601,instruments/hide_3-28_soft.wav,0.2
00:25.607,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:26.397,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:26.401,instruments/hide_3-24b_soft.wav,0.2
00:26.407,instruments/hide_3-28b_soft.wav,0.2
00:27.191,instruments/hide_3-29_soft.wav,0.2
00:27.202,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:27.208,instruments/hide_3-25_soft.wav,0.2
00:27.992,instruments/hide_3-25b_soft.wav,0.2
